ID,coffee_in_cafe,cost_beer,cost_coworking,cost_expat,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,latitude,leisure,lgbt_friendly,life_score,longitude,nightlife,nomadScore,nomad_score,peace_score,place,places_to_work,press_freedom_index,racism,safety,weed,City,Temperature (Celsius),Wind Speed (m/s),Latitude,Longitude,Description,Country,Rank_x,Visa-Free Access,GDP per capita (USD),  Dwellings without basic facilities,  Housing expenditure,  Rooms per person,  Household net adjusted disposable income,  Household net wealth,  Labour market insecurity,  Employment rate,  Long-term unemployment rate,  Personal earnings,  Quality of support network,  Educational attainment,  Student skills,  Years in education,  Air pollution,  Water quality,  Stakeholder engagement for developing regulations,  Voter turnout,  Life expectancy,  Self-reported health,  Feeling safe walking alone at night,  Homicide rate,  Employees working very long hours,  Time devoted to leisure and personal care,  Life satisfaction,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019,Rank_y,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,GDP (in Trillions USD),GDP per Capita (in USD),Inflation Rate (%),Population (in Millions),Population Growth Rate (%),Urban Population (%),Life Expectancy (Years),Healthcare Expenditure per Capita (USD),Doctor-to-Patient Ratio,Literacy Rate (%),Education Expenditure as % of GDP,Internet Penetration (%),Smartphone Adoption (%),Energy Consumption (TWh),Renewable Energy Share (%),Military Expenditure (in Billion USD),Number of Active Military Personnel,CO2 Emissions (Million Metric Tons),Forest Coverage (%),Number of Airports,Road Network Length (in km),Public Transport Usage (%),Human Development Index (HDI),Gender Equality Index,Poverty Rate (%),Number of International Visitors (in Millions),Tourism Revenue (in Billion USD),Agricultural Land (%),Unemployment Rate (%),Labor Force Participation Rate (%),"Crime Rate (per 100,000)",Corruption Perception Index,Freedom of Press Index,Voting Participation Rate (%),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
588,1.34,1.34,109.11,722,729,0.4,70.7,1,0.2,1,4,11.9404192,0.6,0.4,0.66,108.4583132,0.4,0.55,0.55,0.6,Da Lat,0.4,74.27,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,1.46,1.46,116.75,828,1537,0,72,0.4,0.6,1,4,-16.4090474,0.6,0.4,0.67,-71.537451,0.6,0.55,0.55,0.6,Arequipa,0.4,29.99,0.6,0.56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,1.26,1.26,72.92,2800,1732,0.6,74.9,0.4,0.2,0.6,4,20.0117253,0.8,0.6,0.68,110.0379904,0.6,0.55,0.55,0.6,Haikou,0.4,80.96,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,1,1,244,1622,3095,0.6,53.2,0.8,0.4,0.6,4,9.3406,1,0.8,0.74,-82.2406,0.8,0.55,0.55,0.8,Bocas del Toro,0.6,30.59,0.8,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,0.95,0.95,85.4,1868,1583,0.2,101.7,0.4,0.2,0.6,5,31.5546061,0.6,0.4,0.37,74.3571581,0.4,0.54,0.54,0.2,Lahore,0.4,48.52,0.8,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,4.35,4.35,59.06,449,1500,0.6,79.6,0.4,0.2,0.6,2,23.8020368,0.6,0.2,0.66,86.3642094,0.2,0.54,0.54,0.4,Dhanbad,0.4,43.17,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,1.82,1.82,138.94,1026,1261,0.6,79,0.2,0.6,0.8,2,12.136389,0.4,0.6,0.63,-86.251389,0.4,0.54,0.54,0.4,Managua,0.6,28.82,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,3.7,3.7,451.51,2050,3749,0.8,35.1,0.8,0.6,0.8,3,37.0625,1,0.6,0.81,-95.677068,0.8,0.54,0.54,0.8,Kobe,0.8,28.67,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,1.59,1.59,59.06,373,1170,0.4,79.6,0.4,0.2,0.6,2,26.2141389,0.6,0.2,0.64,78.1208586,0.2,0.54,0.54,0.4,Gwalior,0.4,43.17,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,3.14,3.14,255.48,1168,2465,0.6,69.9,0.8,0.6,0.6,4,-25.746111,0.8,0.8,0.69,28.188056,0.8,0.54,0.54,0.6,Pretoria,0.8,21.92,0.6,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,1.47,1.47,246.82,1225,1571,0.2,70.4,0.4,0.2,0.2,16,31.6537863,0.2,0.2,0.4,-106.5832922,0.2,0.54,0.54,0.6,Juarez,0.2,49.33,0.4,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,1.75,1.75,200,1016,1486,0.2,72.5,0.8,,0.8,3,13.6929403,0.6,0.4,0.61,-89.2181911,0.8,0.54,0.54,0.6,San Salvador,0.4,,0,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,4.1,4.1,72.92,944,2163,0.6,74.9,0.4,0.2,0.6,3,26.0498897,0.4,0.6,0.65,119.0381985,0.6,0.54,0.54,0.6,Fuzhou,0.4,80.96,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,3.77,3.77,409.02,8270,3183,0.6,22.5,0.8,0.8,0.6,3,-28.6469733,0.8,0.6,0.75,153.5678005,0.6,0.54,0.54,1,Byron Bay,0.4,17.84,0.6,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,1.6,1.6,203.94,1062,1913,0.6,65.3,0.8,0.4,0.8,3,-1.26719,0.8,0.4,0.66,-48.5579947,0.6,0.54,0.54,0.6,Belem,0.8,32.62,0.8,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,3.15,3.15,72.92,1922,1484,0.6,74.9,0.4,0.2,0.6,3,31.3221084,0.4,0.4,0.63,120.7044229,0.2,0.54,0.54,0.6,Kunshan,0.4,80.96,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,2.99,2.99,243.31,1601,3162,0.6,66,0.6,0.6,0.8,1,17.504722,0.4,0.2,0.66,-88.186667,0.6,0.53,0.53,0.6,Belize City,0.4,20.61,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,0.96,0.96,54.6,706,1352,0.2,90.2,0.4,0.2,0.8,3,30.0444196,0.6,0.2,0.48,31.2357116,0.6,0.53,0.53,0.2,Cairo,0.8,54.45,0.6,0.6,0,Cairo,19.42,4.63,30.0626,31.2497,clear sky,Egypt,90th,52,,,,,,,,,,,,,,,,,,,,,,,,,,0.645,546.91,71,7,26,58,65,94,86,64,119,21,3.7,12.7,21.2,16.2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,0.95,0.95,59.06,697,815,0.4,79.6,0.4,0.2,0.6,1,10.5113799,0.8,0.4,0.64,76.1532099,0.2,0.53,0.53,0.4,Thrissur,0.4,43.17,0.6,0.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,0,0,59.06,496,1594,0.4,79.6,0.4,0.2,0.8,2,23.6834541,0.6,0.2,0.65,86.8541898,0.2,0.53,0.53,0.4,Asansol,0.4,43.17,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,1.08,1.08,50.5,721,1447,0.4,78.5,0.4,0.4,1,2,-17.383333,0.6,0.6,0.63,-66.166667,0.6,0.53,0.53,0.4,Cochabamba,0.8,31.78,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,2.79,2.79,227.12,1185,2369,0.6,69.9,0.6,0.6,0.8,2,-33.958056,0.6,0.8,0.61,25.6,0.4,0.53,0.53,0.6,Port Elizabeth,0.6,21.92,0.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,4.62,4.62,59.06,617,1659,0.4,79.6,0.4,0.2,0.6,2,23.1756331,0.6,0.2,0.64,79.828667,0.2,0.53,0.53,0.4,Jabalpur,0.4,43.17,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,1.23,1.23,40.99,870,1047,0.6,56.6,0.4,0.6,0.6,3,47.92,0.6,0.4,0.65,106.92,0.2,0.53,0.53,0.8,Ulaanbaatar,0.4,27.61,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,6,6,250,3129,4056,0.8,34,0.6,0.6,0.6,24,41.8781136,0.45,0.6,0.57,-87.6297982,0.6,0.53,0.53,0.8,Chicago,0.8,22.49,0.8,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,2.3,2.3,72.92,754,818,0.6,74.9,0.4,0.2,0.6,3,26.5959859,0.4,0.6,0.64,106.5762993,0.6,0.53,0.53,0.6,Guiyang,0.4,80.96,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,3.23,3.23,262.38,1166,1831,0.6,55.2,0.6,0.4,0.6,3,42.441286,0.6,0.6,0.65,19.262892,0.4,0.53,0.53,0.8,Podgorica,0.4,32.79,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,0.89,0.89,72.05,845,839,0.6,79.6,0.2,0.2,0.8,2,21.1702401,0.8,0.4,0.64,72.8310607,0.4,0.53,0.53,0.4,Surat,0.4,43.17,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,1.33,1.33,106.58,1183,2209,0.4,83.2,0.6,0.4,1,3,14.5585707,1,0.2,0.57,-90.729523,0.6,0.53,0.53,0.4,Antigua,0.4,38.03,0.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,1.59,1.59,59.06,1284,857,0.4,79.6,0.6,0.2,0.8,3,27.1767,0.8,0.2,0.62,78.0081,0.6,0.53,0.53,0.4,Agra,0.6,43.17,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,2.16,2.16,203.94,7911,5658,0.4,65.3,0.4,0.4,0.6,5,37.0625,0.4,0.6,0.59,-95.677068,0.6,0.53,0.53,0.6,Anápolis,0.4,32.62,0.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,3.15,3.15,72.92,2567,1210,0.6,74.9,0.4,0.2,0.6,4,32.6473323,0.6,0.6,0.64,116.8944522,0.6,0.53,0.53,0.6,,0.4,80.96,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,0.77,0.77,120.11,1161,947,0.8,96.3,0.8,,0.8,2,16.780833,1,0.4,0.52,96.149722,0.4,0.53,0.53,0.2,Yangon,0.4,,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,0.09,0.09,7.21,426,522,0.6,79.6,0.2,0.2,0.8,2,23.022505,0.8,0.2,0.64,72.5713621,0.4,0.53,0.53,0.4,Ahmedabad,0.4,43.17,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,0.89,0.89,95.97,896,1095,0.4,79.6,0.2,0.2,0.8,2,19.2183307,0.8,0.4,0.57,72.9780897,0.6,0.52,0.52,0.4,Thane,0.4,43.17,0.2,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,0.54,0.54,43.66,611,880,0.4,,1,0.4,1,2,42.874722,0.6,0.6,0.69,74.612222,0.6,0.52,0.52,,Bishkek,1,30.16,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,1.94,1.94,46.5,811,1337,0.4,75.5,0.6,0.4,0.8,10,46.482526,0.4,0.2,0.45,30.7233095,0.8,0.52,0.52,0.4,Odesa,0.8,32.93,0.4,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,1.07,1.07,87.06,558,860,0.4,79.6,0.2,0.2,0.8,3,22.3071588,0.8,0.4,0.63,73.1812187,0.6,0.52,0.52,0.4,Vadodara,0.4,43.17,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,1.53,1.53,107.13,1012,963,0.6,84.4,0.2,0.2,1,1,17.966667,0.2,0.6,0.56,102.6,0.2,0.52,0.52,0.4,Vientiane,0.4,71.58,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,2.58,2.58,210.16,817,1486,0.6,79.6,0.2,0.2,0.4,3,22.7195687,0.8,0.2,0.62,75.8577258,0.4,0.52,0.52,0.4,Indore,0.4,43.17,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,1.33,1.33,103.35,948,1129,0.2,79.6,0.2,0.2,0.6,4,28.5355161,0.6,0.4,0.55,77.3910265,0.8,0.52,0.52,0.4,Noida,0.4,43.17,0.2,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,2.95,2.95,59.06,587,953,0.4,79.6,0.4,0.2,0.4,2,11.8667015,0.6,0.4,0.57,75.3525086,0.2,0.52,0.52,0.4,Kannur,0.4,43.17,0.4,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,2.74,2.74,4.78,1351,1782,0.6,103.5,0.2,0.4,0.6,6,9.0765,0.4,0.2,0.33,7.3986,0.4,0.52,0.52,0.2,Abuja,0.2,35.9,0.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,3.15,3.15,72.92,2004,1490,0.6,74.9,0.4,0.2,0.6,3,30.1697,0.6,0.6,0.65,121.2666,0.6,0.52,0.52,0.6,Cixi,0.4,80.96,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,1.31,1.31,349.69,1085,2233,0.4,74.6,0.4,0.4,0.8,4,36.8064948,1,0.2,0.6,10.1815316,0.4,0.52,0.52,0.6,Tunis,0.4,31.6,0,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,2.03,2.03,147.27,1077,1365,0.2,84.7,0.2,0.2,0.6,3,14.5995124,0.4,0.4,0.42,120.9842195,0.8,0.52,0.52,0.4,Manila,0.8,44.66,0.4,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,3.86,3.86,72.92,7037,1533,0.6,74.9,0.4,0.2,0.6,3,31.8141823,0.6,0.6,0.64,119.6644216,0.6,0.52,0.52,0.6,Changzhou,0.4,80.96,0.2,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,1.67,1.67,111.68,849,887,0.6,80.2,0,0.2,0.6,3,7.1650177,0.6,0.6,0.59,-73.1782855,0.8,0.52,0.52,0.4,Bucaramanga,0.4,44.11,0.6,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,2.26,2.26,59.06,458,1394,0.4,79.6,0.6,0.2,0.6,2,8.8862698,0.6,0.4,0.6,76.5588183,0.2,0.52,0.52,0.4,Kollam,0.6,43.17,0.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,0,0,384.3,1646,2381,0.8,,0.4,,0.6,3,36.8542605,0.6,0.4,0.72,42.8548248,0.4,0.52,0.52,,Duhok,0.4,,0.6,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,6.27,6.27,59.06,667,1406,0.4,79.6,0.4,0.2,0.6,3,26.4471054,0.6,0.4,0.59,80.1982971,0.2,0.52,0.52,0.4,Kanpur,0.6,43.17,0.4,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,0.58,0.58,92.16,831,1183,0.6,66.1,0.4,0.2,0.6,3,5.2632341,0.6,0.2,0.63,100.4846227,0.2,0.52,0.52,0.6,,0.6,46.57,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,3.15,3.15,72.92,1423,1677,0.6,74.9,0.4,0.2,0.6,2,22.5643709,0.4,0.6,0.65,112.9730885,0.6,0.52,0.52,0.6,Jiangmen,0.4,80.96,0.2,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,3.15,3.15,72.92,873,1129,0.6,74.9,0.4,0.2,0.6,2,36.6425933,0.4,0.6,0.63,116.7489271,0.6,0.52,0.52,0.6,,0.4,80.96,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,3.15,3.15,72.92,1090,1347,0.6,74.9,0.4,0.2,0.6,3,33.6033275,0.4,0.6,0.64,119.0476799,0.6,0.52,0.52,0.6,Huai'an,0.4,80.96,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,3.94,3.94,72.92,1010,1550,0.6,74.9,0.4,0.2,0.6,3,30.7442536,0.4,0.6,0.64,120.6271268,0.6,0.51,0.51,0.6,Jiaxing,0.4,80.96,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,3.15,3.15,72.92,1221,1479,0.6,74.9,0.4,0.2,0.6,3,31.8554479,0.4,0.6,0.64,117.1461774,0.6,0.51,0.51,0.6,Hefei,0.4,80.96,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,1.11,1.11,90.07,426,1158,0.6,79.6,0.2,0.2,0.6,2,23.2599333,0.8,0.2,0.59,77.412615,0.2,0.51,0.51,0.4,Bhopal,0.4,43.17,0.2,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,3.15,3.15,72.92,919,2897,0.6,74.9,0.4,0.2,0.6,3,28.1758442,0.4,0.6,0.64,112.7444066,0.6,0.51,0.51,0.6,Changsha,0.4,80.96,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,2.15,2.15,227.47,1035,1152,0.6,81,0.6,0.2,0.8,3,45.033333,0.4,0.6,0.57,38.966667,0.8,0.51,0.51,0.4,Krasnodar,0.4,49.03,0.4,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,2.67,2.67,72.92,1209,1294,0.6,74.9,0.4,0.2,0.6,4,23.0087696,0.6,0.4,0.6,112.9662221,0.4,0.51,0.51,0.6,Foshan,0.4,80.96,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,1.59,1.59,59.06,478,650,0.4,79.6,0.4,0.2,0.6,2,25.4358,0.4,0.2,0.59,81.8463,0.2,0.51,0.51,0.4,Allahabad,0.2,43.17,0.6,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,2.55,2.55,243.55,1745,1893,0.6,74.9,0.4,0.2,0.4,3,39.90403,0.6,0.2,0.57,116.407526,0.45,0.51,0.51,0.6,Beijing,0.8,80.96,0.4,0.6,0,Beijing,8.94,1.24,39.9075,116.3972,light rain,China,60th,85,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,444.55,23,6,70,86,44,78,29,80,85,31.7,12.3,22.4,36.8,20.6,73.3,2011.5,14.26833333,10003.33333,2.4075,1396.36875,0.2975,60.12,76.60125,447.31875,1.79375,96.18,3.999583333,65.23833333,69.93875,6719.533333,29.26625,258.3458333,2068193.75,9936.666667,21.94833333,238.16,5036041.667,33.82708333,0.759583333,0.81,2.012916667,64.37416667,120.6,54.52916667,3.57,63.02375,100.1125,41.95583333,177.7370833,71.79583333,,,,,,,,
